RUBiS Transition Table	More writes																													
																														
"To >>>
From vvvv  "	Home	Reg.	Reg. User	Browse	Br. Cat.	Search Items Cat.	Br. Reg.	Br. Cat. Reg.	Search Items Reg.	View Item	View User Info	View Bid Hist.	Buy Now Auth	Buy Now	Store Buy Now	Put Bid Auth	Put Bid	Store Bid	Put Com. Auth	Put Comment	Store Comment	Sell	Cat. Sell Item	Sell Item Form	Reg. Item	About Me (auth)	About Me	GetAuctionsReadyForClose	CloesAuction	Transition waiting time
Home	0	0.0001	0.01	0.001	0.0001	0.0001	0.0001	0.0001	0.0001	0.001	0.0001	0.0001	0.0001	0.001	0.01	0.0001	0.001	0.01	0.0001	0.001	0.01	0.001	0.0001	0.0001	0.01	0.0001	0.0001	0	0.01	0
Register	0.01	0	0	0.001	0.0001	0.0001	0.0001	0.0001	0.0001	0.001	0.0001	0.0001	0.0001	0.001	0.01	0.0001	0.001	0.01	0.0001	0.001	0.01	0.001	0.0001	0.0001	0.01	0.0001	0.0001	0	0.01	0
RegisterUser	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Browse	0.83	0.0083	0.83	0	0.0083	0.0083	0.0083	0.0083	0.0083	0.083	0.0083	0.0083	0.0083	0.083	0.83	0.0083	0.083	0.83	0.0083	0.083	0.83	0.083	0.0083	0.0083	0.83	0.0083	0.0083	0	0.83	0
BrowseCategories	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SearchItemsInCategory	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BrowseRegions	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BrowseCategoriesInRegion	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SearchItemsInRegion	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ViewItem	0	0	0	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0
ViewUserInfo	0	0	0	0	0	0	0	0	0	0.01	0.19	0.19	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.05	0	0	0
ViewBidHistory	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
BuyNowAuth	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BuyNow	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
