RUBiS Transition Table	Cheng's 15% Updates with short waiting time

"To >>>
From vvvv  "	Home	Reg.	Reg. User	Browse	Br. Cat.	Search Items Cat.	Br. Reg.	Br. Cat. Reg.	Search Items Reg.	View Item	View User Info	View Bid Hist.	Buy Now Auth	Buy Now	Store Buy Now	Put Bid Auth	Put Bid	Store Bid	Put Com. Auth	Put Comment	Store Comment	Sell	Cat. Sell Item	Sell Item Form	Reg. Item	About Me (auth)	About Me	GetAuctionsReadyForClose	CloseAuction	Transition waiting time
Home	0	0.0001	0.01	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.01	0.0001	0.0001	0.01	0.0001	0.0001	0.01	0.0001	0.0001	0.0001	0.01	0.0001	0.002	0.0001	0.01	200
Register	0.07	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	200
RegisterUser	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
Browse	0.69	0.0057	0.57	0	0.0057	0.0057	0.0057	0.0057	0.0057	0.0057	0.0057	0.0057	0.0057	0.0057	0.57	0.0057	0.0057	0.57	0.0057	0.0057	0.57	0.0057	0.0057	0.0057	0.57	0.0057	0.114	0.0057	0.57	200
BrowseCategories	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
SearchItemsInCategory	0	0	0	0	0.99	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
BrowseRegions	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
BrowseCategoriesInRegion	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
SearchItemsInRegion	0	0	0	0	0	0	0	0.99	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
ViewItem	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	200
ViewUserInfo	0	0	0	0	0	0	0	0	0	0.1	0.19	0.19	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0.05	0	0	200
ViewBidHistory	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	200
BuyNowAuth	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
BuyNow	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
StoreBuyBow	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
PutBidAuth	0	0	0	0	0	0.09	0	0	0.09	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	200
PutBid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	200
StoreBid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0	0	0	200
PutCommentAuth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
PutComment	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.05	0	0.99	0	0	0	0	0	0	0	0	0	0	200
StoreComment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	200
Sell	0.05	0.0005	0.05	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.0005	0.05	0.0005	0.0005	0.05	0.0005	0.0005	0.05	0.0005	0.0005	0.0005	0.05	0.0005	0.01	0.0005	0.05	200
SelectCategoryToSellItem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0	200
SellItemForm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	200
RegisterItem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	200
